model_name,language,condition,PC1,PC2,data_source
google/gemini-2.5-pro,ru,baseline,1.8407,1.7095,LLM
google/gemini-2.5-pro,zh-cn,baseline,2.2679,0.4929,LLM
google/gemini-3-pro-preview,ar,baseline,-1.3127,-1.6399,LLM
google/gemini-3-pro-preview,en,baseline,0.4209,1.1832,LLM
google/gemini-3-pro-preview,es,baseline,2.0163,1.4422,LLM
google/gemini-3-pro-preview,fr,baseline,2.5212,2.2373,LLM
google/gemini-3-pro-preview,ru,baseline,1.0542,1.466,LLM
google/gemini-3-pro-preview,zh-cn,baseline,1.0542,1.466,LLM
google/gemma-3-4b-it,fr,baseline,-0.4067,2.4109,LLM
google/gemma-3-4b-it,ru,baseline,-2.9741,-0.0137,LLM
google/gemma-3-4b-it,zh-cn,baseline,-0.7722,1.793,LLM
google/gemma-3-4b-it,es,baseline,0.5905,2.3297,LLM
google/gemma-3-4b-it,ar,baseline,-2.3446,-0.4098,LLM
google/gemma-3-4b-it,en,baseline,1.1977,2.3206,LLM
gpt-4o,zh-cn,baseline,2.9829,1.4185,LLM
gpt-4o,ru,baseline,3.2684,0.4453,LLM
gpt-4o,fr,baseline,2.744,1.3167,LLM
gpt-4o,es,baseline,2.8197,2.8154,LLM
gpt-4o,en,baseline,0.8105,1.0541,LLM
gpt-4o,ar,baseline,-0.4808,2.3126,LLM
gpt-4o-mini,ru,baseline,4.6845,-1.3178,LLM
gpt-4o-mini,fr,baseline,3.9063,0.211,LLM
gpt-4o-mini,es,baseline,4.048,1.4748,LLM
gpt-4o-mini,en,baseline,6.6439,-1.4228,LLM
gpt-4o-mini,ar,baseline,1.458,-0.2858,LLM
gpt-4o-mini,zh-cn,baseline,4.2818,0.879,LLM
kimi-k2,ru,baseline,2.9832,1.7068,LLM
kimi-k2,zh-cn,baseline,6.1703,-1.0265,LLM
kimi-k2,fr,baseline,4.7026,0.9711,LLM
kimi-k2,es,baseline,4.5586,0.2742,LLM
kimi-k2,en,baseline,3.8878,0.4057,LLM
kimi-k2,ar,baseline,2.5473,0.1179,LLM
meta-llama/llama-3.2-3b-instruct,ar,baseline,0.043,1.1086,LLM
meta-llama/llama-3.2-3b-instruct,en,baseline,0.5,2.4209,LLM
meta-llama/llama-3.2-3b-instruct,es,baseline,3.5779,1.8052,LLM
meta-llama/llama-3.2-3b-instruct,fr,baseline,2.7786,1.7855,LLM
meta-llama/llama-3.2-3b-instruct,ru,baseline,1.3774,1.5053,LLM
meta-llama/llama-3.2-3b-instruct,zh-cn,baseline,0.0685,0.4843,LLM
meta-llama/llama-3.3-70b-instruct,ar,baseline,0.9121,0.5256,LLM
meta-llama/llama-3.3-70b-instruct,en,baseline,2.1329,1.9151,LLM
meta-llama/llama-3.3-70b-instruct,es,baseline,1.1532,1.9676,LLM
meta-llama/llama-3.3-70b-instruct,fr,baseline,2.0098,2.1605,LLM
meta-llama/llama-3.3-70b-instruct,ru,baseline,0.83,3.2949,LLM
meta-llama/llama-3.3-70b-instruct,zh-cn,baseline,3.1381,1.7912,LLM
microsoft/phi-3-mini-128k-instruct,zh-cn,baseline,2.0117,1.4192,LLM
microsoft/phi-3-mini-128k-instruct,ru,baseline,3.1969,0.5484,LLM
microsoft/phi-3-mini-128k-instruct,fr,baseline,2.8496,1.0999,LLM
microsoft/phi-3-mini-128k-instruct,en,baseline,2.6053,0.978,LLM
microsoft/phi-3-mini-128k-instruct,ar,baseline,0.0761,0.3387,LLM
microsoft/phi-3-mini-128k-instruct,es,baseline,3.1446,1.0728,LLM
mistralai/mistral-medium-3.1,zh-cn,baseline,3.2834,2.6632,LLM
mistralai/mistral-medium-3.1,ar,baseline,1.2243,-0.6871,LLM
mistralai/mistral-medium-3.1,en,baseline,0.8138,3.5959,LLM
mistralai/mistral-medium-3.1,es,baseline,1.8476,2.6507,LLM
mistralai/mistral-medium-3.1,fr,baseline,3.274,-1.1039,LLM
mistralai/mistral-medium-3.1,ru,baseline,2.9459,0.6142,LLM
mistralai/mistral-nemo,ar,baseline,1.4131,4.9846,LLM
mistralai/mistral-nemo,en,baseline,6.0521,-0.4711,LLM
mistralai/mistral-nemo,es,baseline,0.6917,4.3689,LLM
mistralai/mistral-nemo,fr,baseline,3.2977,3.9193,LLM
mistralai/mistral-nemo,ru,baseline,0.2016,4.0554,LLM
mistralai/mistral-nemo,zh-cn,baseline,0.7575,4.8601,LLM
openai/gpt-5.1,ru,baseline,0.9886,2.9886,LLM
openai/gpt-5.1,zh-cn,baseline,3.9901,3.4491,LLM
openai/gpt-5.1,fr,baseline,4.7123,3.6923,LLM
openai/gpt-5.1,en,baseline,2.6422,2.6596,LLM
openai/gpt-5.1,ar,baseline,2.6422,2.6596,LLM
openai/gpt-5.1,es,baseline,4.0142,2.7021,LLM
qwen/qwen3-max,zh-cn,baseline,1.8178,-1.7066,LLM
qwen/qwen3-max,ar,baseline,3.1548,-1.6067,LLM
qwen/qwen3-max,en,baseline,0.7599,-0.3662,LLM
qwen/qwen3-max,es,baseline,4.1933,0.2267,LLM
qwen/qwen3-max,fr,baseline,0.3152,0.879,LLM
qwen/qwen3-max,ru,baseline,5.6256,-1.1138,LLM
qwen/qwq-32b,zh-cn,baseline,0.8891,3.7973,LLM
qwen/qwq-32b,ru,baseline,0.4259,5.2373,LLM
qwen/qwq-32b,fr,baseline,2.768,2.9973,LLM
qwen/qwq-32b,es,baseline,2.7855,2.9686,LLM
qwen/qwq-32b,ar,baseline,0.3482,3.2256,LLM
qwen/qwq-32b,en,baseline,2.5504,4.1078,LLM
qwen3-1.7b,zh-cn,baseline,-1.0065,4.5573,LLM
qwen3-1.7b,ru,baseline,4.1589,0.6991,LLM
qwen3-1.7b,fr,baseline,0.7575,4.8601,LLM
qwen3-1.7b,es,baseline,-1.1994,4.0622,LLM
qwen3-1.7b,en,baseline,3.4952,-0.0769,LLM
qwen3-1.7b,ar,baseline,-0.5341,4.8068,LLM
x-ai/grok-4.1-fast,ar,baseline,2.3343,4.9322,LLM
x-ai/grok-4.1-fast,en,baseline,5.0249,2.6395,LLM
x-ai/grok-4.1-fast,es,baseline,1.3895,3.673,LLM
x-ai/grok-4.1-fast,fr,baseline,5.4945,1.4782,LLM
x-ai/grok-4.1-fast,ru,baseline,1.5817,4.85,LLM
x-ai/grok-4.1-fast,zh-cn,baseline,1.1236,4.2638,LLM
z-ai/glm-4.6,fr,baseline,0.6609,2.8438,LLM
z-ai/glm-4.6,es,baseline,1.0542,1.466,LLM
z-ai/glm-4.6,ru,baseline,0.6609,2.8438,LLM
z-ai/glm-4.6,ar,baseline,1.5657,0.1062,LLM
z-ai/glm-4.6,en,baseline,2.6371,-0.138,LLM
z-ai/glm-4.6,zh-cn,baseline,1.0301,2.213,LLM
