Model,Language,PC1_Self_Expression,PC2_Secular_Rational
gpt-4o,fr,2.744040280886893,1.3166580325894637
gpt-4o,ru,3.268441878247168,0.445345327978262
gpt-4o,zh-cn,2.982901954660569,1.4185304826042417
gpt-4o-mini,ar,1.4580163595447986,-0.2858082450682174
gpt-4o-mini,en,6.643886294335514,-1.4227688145315736
gpt-4o-mini,es,4.048020640717405,1.4747845047144095
gpt-4o-mini,fr,3.906307162665716,0.21095661971644614
gpt-4o-mini,ru,4.68452906624203,-1.3178442443130842
gpt-4o-mini,zh-cn,4.281798259386882,0.8790354459794589
gpt-5.1,ar,2.6422099588685635,2.659551472916211
gpt-5.1,en,2.6422099588685635,2.659551472916211
gpt-5.1,es,4.0141718484525635,2.7021177806171104
gpt-5.1,fr,4.712343479498214,3.692271934697259
gpt-5.1,ru,0.9885980950058872,2.9886331309729592
gpt-5.1,zh-cn,3.9901490568712936,3.449121844070269
grok-4.1-fast,ar,2.3342953622805096,4.932156251344582
grok-4.1-fast,en,5.024900654353202,2.6395162184127487
grok-4.1-fast,es,1.3894993596384722,3.6730255889831107
grok-4.1-fast,fr,5.494545487109238,1.4782061078979476
grok-4.1-fast,ru,1.5816827835992249,4.849955643638647
grok-4.1-fast,zh-cn,1.1236267514065568,4.263819921335628
kimi-k2,ar,2.5472812747601115,0.11793556578325777
kimi-k2,en,3.8877911891498838,0.4057110279732267
kimi-k2,es,4.558563830950777,0.27419816742107533
kimi-k2,fr,4.702606120215108,0.9711346240069698
kimi-k2,ru,2.9831507018453163,1.7067681933809893
kimi-k2,zh-cn,6.170331978724587,-1.0265282506984537
llama-3.2-3b-instruct,ar,0.043040105351658586,1.1085588355537346
llama-3.2-3b-instruct,en,0.4999852365617702,2.420922582767874
llama-3.2-3b-instruct,es,3.5778531017901383,1.8052485244622802
llama-3.2-3b-instruct,fr,2.778636220681275,1.7854904283641178
llama-3.2-3b-instruct,ru,1.3773583570410393,1.5052546970818461
llama-3.2-3b-instruct,zh-cn,0.06849398149367214,0.484281956744883
llama-3.3-70b-instruct,ar,0.9121211001970102,0.5255614314307191
llama-3.3-70b-instruct,en,2.132894794383036,1.915091201721138
llama-3.3-70b-instruct,es,1.1532161803362944,1.9675534868303821
llama-3.3-70b-instruct,fr,2.009811084478322,2.160504448328937
llama-3.3-70b-instruct,ru,0.8300326188550755,3.2948681952835734
llama-3.3-70b-instruct,zh-cn,3.138086970937871,1.7911681830876418
mistral-medium-3.1,ar,1.2242985601583523,-0.6870719021889758
mistral-medium-3.1,en,0.8137662082863657,3.5958800962945103
mistral-medium-3.1,es,1.8476119811583969,2.650652233824009
mistral-medium-3.1,fr,3.274008515595636,-1.1039170430738259
mistral-medium-3.1,ru,2.945903546977118,0.6142381284321055
mistral-medium-3.1,zh-cn,3.2833900362338357,2.6631752815763923
mistral-nemo,ar,1.41309236518949,4.984591632522868
mistral-nemo,en,6.052072598170648,-0.4710848811632371
mistral-nemo,es,0.6916830145176857,4.368944159551115
mistral-nemo,fr,3.297660213725546,3.919309892782608
mistral-nemo,ru,0.20164869603405577,4.055430546102156
mistral-nemo,zh-cn,0.7574557711730943,4.86005128904399
phi-3-mini-128k-instruct,ar,0.07613187011863987,0.3386634399756317
phi-3-mini-128k-instruct,en,2.605271106408381,0.9779598880563466
phi-3-mini-128k-instruct,es,3.144598178674717,1.0728264537161019
phi-3-mini-128k-instruct,fr,2.849612406947182,1.0999071200632835
phi-3-mini-128k-instruct,ru,3.1968921466036826,0.5483978103667648
phi-3-mini-128k-instruct,zh-cn,2.0117070902351593,1.4191845743147817
qwen3-max,ar,3.1547859842391826,-1.6066732152088967
qwen3-max,en,0.7599117982830081,-0.36624915764730026
qwen3-max,es,4.193290955729581,0.22667435281189727
qwen3-max,fr,0.315234327496622,0.87897753109489
qwen3-max,ru,5.625649019226379,-1.1138130204821695
qwen3-max,zh-cn,1.81784726234403,-1.7065641910730343
