model,model_country,family,n_pairs,native_mean,english_mean,english_advantage
gpt-5.1,美国,罗曼语系,24,1.7843426536031135,2.382660869273304,-33.531576150018594
gpt-5.1,美国,日耳曼语系,5,2.7243816041472635,3.3260931937416105,-22.086171360075816
grok-4.1-fast,美国,闪米特语系,12,2.3454491843020873,2.319405953564754,1.1103728408033156
grok-4.1-fast,美国,斯拉夫语系,4,2.568162211946703,2.63207957520055,-2.488836684712246
grok-4.1-fast,美国,汉藏语系,3,2.0742600291436055,1.4998086564363213,27.694279629177277
grok-4.1-fast,美国,罗曼语系,24,2.5970770089526654,2.5291690645036033,2.6147836284780612
grok-4.1-fast,美国,日耳曼语系,5,2.1801296789643763,2.889281088470394,-32.52794622028562
kimi-k2,中国,闪米特语系,12,1.169131813249876,1.1060516938108338,5.395466851910928
kimi-k2,中国,斯拉夫语系,4,0.6752165332620844,0.8199800198974505,-21.439564866101453
kimi-k2,中国,汉藏语系,3,1.7856380274451762,1.285324683905941,28.018743768302517
kimi-k2,中国,罗曼语系,24,2.6058984677961456,1.9973052825462723,23.354447334418648
kimi-k2,中国,日耳曼语系,5,2.8034667432303344,3.818869122872571,-36.219526487845
llama-3.2-3b-instruct,美国,闪米特语系,12,5.94193391177079,4.691851004139882,21.038317258199925
llama-3.2-3b-instruct,美国,斯拉夫语系,4,3.4745846380041185,3.2826992128542583,5.52254284011581
llama-3.2-3b-instruct,美国,汉藏语系,3,2.008509586653233,1.313419579346519,34.607253653438526
llama-3.2-3b-instruct,美国,罗曼语系,24,2.7545366662615165,2.739393068067331,0.5497693452285194
llama-3.2-3b-instruct,美国,日耳曼语系,5,1.275540816587162,0.9937863107082798,22.089023119835925
llama-3.3-70b-instruct,美国,闪米特语系,12,1.3012154351837075,1.2588169772333784,3.258373425638259
llama-3.3-70b-instruct,美国,斯拉夫语系,4,0.9808069907454611,0.8432863783796213,14.021169675933635
llama-3.3-70b-instruct,美国,汉藏语系,3,1.8050657926035074,1.334001238715718,26.09680798439801
llama-3.3-70b-instruct,美国,罗曼语系,24,2.5081992616264706,1.7571727013681517,29.94285867747633
llama-3.3-70b-instruct,美国,日耳曼语系,5,2.9977415906659592,2.3770273821830785,20.706061203393677
mistral-medium-3.1,法国,闪米特语系,12,1.8959123838518404,1.7585391583693841,7.2457581190203095
mistral-medium-3.1,法国,斯拉夫语系,4,0.3686472609986426,0.9563630326046416,-159.42496629811205
mistral-medium-3.1,法国,汉藏语系,3,1.6728496188634532,0.9378947061025653,43.934308527996784
mistral-medium-3.1,法国,罗曼语系,24,1.9639582784623826,2.0529947004228974,-4.533519012950879
mistral-medium-3.1,法国,日耳曼语系,5,2.376324178830612,1.8679319803063934,21.39405907044207
mistral-nemo,法国,闪米特语系,12,3.8749965036415923,2.853983497902673,26.34874650285247
mistral-nemo,法国,斯拉夫语系,4,2.3873895706169903,2.9923960542716044,-25.34175783880374
mistral-nemo,法国,汉藏语系,3,2.2998821109792105,2.028257676509778,11.810363373528924
mistral-nemo,法国,罗曼语系,24,2.637160971382113,3.1952358697767256,-21.161958046957228
mistral-nemo,法国,日耳曼语系,5,2.8246811132703016,2.6558143783524075,5.978258364264948
phi-3-mini-128k-instruct,美国,闪米特语系,12,5.385468858657681,3.0058104530257226,44.186652417577704
phi-3-mini-128k-instruct,美国,斯拉夫语系,4,4.603432123183431,2.9655283651511155,35.580056666495366
phi-3-mini-128k-instruct,美国,汉藏语系,3,1.6961991833253716,2.395884078692553,-41.2501610804611
phi-3-mini-128k-instruct,美国,罗曼语系,24,2.656246762047016,2.454944482021306,7.578448015521637
phi-3-mini-128k-instruct,美国,日耳曼语系,5,2.1544615607876887,0.9844068809363893,54.30845001586001
qwen3-max,中国,闪米特语系,12,1.9272222436370565,1.3786929583576597,28.46217072734754
qwen3-max,中国,斯拉夫语系,4,1.4560676828996892,0.7778204780163924,46.58074709361037
qwen3-max,中国,汉藏语系,3,1.1630589640855122,1.191295185666328,-2.42775495075758
qwen3-max,中国,罗曼语系,24,2.0982375377556886,1.6124046384993507,23.154332648914156
qwen3-max,中国,日耳曼语系,5,2.575809941848083,1.7115322482240785,33.55362830084838
