model,condition,country,language,question_id,value_dimension,modal_response,consensus_count,consistency_rate
claude-3-7-sonnet-20250219,baseline,,es,F118,Survival vs. Self-Expression,10,4,0.8
claude-3-7-sonnet-20250219,baseline,,es,F120,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,G006,Survival vs. Self-Expression,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,Y003,Traditional vs. Secular-Rational,1 4 6 8 10,4,1.0
claude-3-7-sonnet-20250219,baseline,,fr,A008,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,A165,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,E018,Traditional vs. Secular-Rational,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,E025,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,F063,Survival vs. Self-Expression,7,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,F118,Survival vs. Self-Expression,10,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,F120,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,G006,Survival vs. Self-Expression,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
claude-3-7-sonnet-20250219,baseline,,fr,Y003,Traditional vs. Secular-Rational,1 4 6 8 10,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,A008,Traditional vs. Secular-Rational,1,4,0.8
claude-3-7-sonnet-20250219,baseline,,ru,A165,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,E018,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,E025,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,F063,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,F118,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,F120,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,G006,Survival vs. Self-Expression,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,Y002,Traditional vs. Secular-Rational,1 4,5,1.0
claude-3-7-sonnet-20250219,baseline,,ru,Y003,Traditional vs. Secular-Rational,2 3 4 6 8,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,A008,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,A165,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,E018,Traditional vs. Secular-Rational,3,4,0.8
claude-3-7-sonnet-20250219,baseline,,zh-cn,E025,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,F063,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,F118,Survival vs. Self-Expression,10,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,F120,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,G006,Survival vs. Self-Expression,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,zh-cn,Y002,Traditional vs. Secular-Rational,2 4,3,0.6
claude-3-7-sonnet-20250219,baseline,,zh-cn,Y003,Traditional vs. Secular-Rational,2 3 4 5 8,5,1.0
deepseek-chat,baseline,,ar,A008,Traditional vs. Secular-Rational,2,5,1.0
deepseek-chat,baseline,,ar,A165,Traditional vs. Secular-Rational,2,4,0.8
deepseek-chat,baseline,,ar,E018,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,ar,E025,Traditional vs. Secular-Rational,1,4,0.8
deepseek-chat,baseline,,ar,F063,Survival vs. Self-Expression,10,4,0.8
deepseek-chat,baseline,,ar,F118,Survival vs. Self-Expression,10,3,0.6
deepseek-chat,baseline,,ar,F120,Survival vs. Self-Expression,5,5,1.0
deepseek-chat,baseline,,ar,G006,Survival vs. Self-Expression,1,4,0.8
deepseek-chat,baseline,,ar,Y002,Traditional vs. Secular-Rational,1 3,4,0.8
deepseek-chat,baseline,,ar,Y003,Traditional vs. Secular-Rational,1 2 4 6 9,3,0.6
deepseek-chat,baseline,,en,A008,Traditional vs. Secular-Rational,2,3,0.6
deepseek-chat,baseline,,en,A165,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,en,E018,Traditional vs. Secular-Rational,1,3,0.6
deepseek-chat,baseline,,en,E025,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,en,F063,Survival vs. Self-Expression,8,2,0.4
deepseek-chat,baseline,,en,F118,Survival vs. Self-Expression,7,3,0.6
deepseek-chat,baseline,,en,F120,Survival vs. Self-Expression,5,5,1.0
deepseek-chat,baseline,,en,G006,Survival vs. Self-Expression,1,4,0.8
deepseek-chat,baseline,,en,Y002,Traditional vs. Secular-Rational,1 3,2,0.4
deepseek-chat,baseline,,en,Y003,Traditional vs. Secular-Rational,1 2 4 6 8,4,0.8
deepseek-chat,baseline,,es,A008,Traditional vs. Secular-Rational,2,4,0.8
deepseek-chat,baseline,,es,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek-chat,baseline,,es,E018,Traditional vs. Secular-Rational,1,4,0.8
deepseek-chat,baseline,,es,E025,Traditional vs. Secular-Rational,2,4,0.8
deepseek-chat,baseline,,es,F063,Survival vs. Self-Expression,10,3,0.6
deepseek-chat,baseline,,es,F118,Survival vs. Self-Expression,10,5,1.0
deepseek-chat,baseline,,es,F120,Survival vs. Self-Expression,5,5,1.0
deepseek-chat,baseline,,es,G006,Survival vs. Self-Expression,2,5,1.0
deepseek-chat,baseline,,es,Y002,Traditional vs. Secular-Rational,3 2,3,0.6
deepseek-chat,baseline,,es,Y003,Traditional vs. Secular-Rational,1 2 4 6 8,4,0.8
deepseek-chat,baseline,,fr,A008,Traditional vs. Secular-Rational,2,3,0.6
deepseek-chat,baseline,,fr,A165,Traditional vs. Secular-Rational,2,4,0.8
deepseek-chat,baseline,,fr,E018,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,fr,E025,Traditional vs. Secular-Rational,1,4,0.8
deepseek-chat,baseline,,fr,F063,Survival vs. Self-Expression,10,3,0.6
deepseek-chat,baseline,,fr,F118,Survival vs. Self-Expression,10,3,0.6
deepseek-chat,baseline,,fr,F120,Survival vs. Self-Expression,5,5,1.0
deepseek-chat,baseline,,fr,G006,Survival vs. Self-Expression,2,5,1.0
deepseek-chat,baseline,,fr,Y002,Traditional vs. Secular-Rational,3 2,3,0.6
deepseek-chat,baseline,,fr,Y003,Traditional vs. Secular-Rational,1 2 3 4 6,3,0.6
deepseek-chat,baseline,,ru,A008,Traditional vs. Secular-Rational,2,5,1.0
deepseek-chat,baseline,,ru,A165,Traditional vs. Secular-Rational,1,4,0.8
deepseek-chat,baseline,,ru,E018,Traditional vs. Secular-Rational,1,3,0.6
deepseek-chat,baseline,,ru,E025,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,ru,F063,Survival vs. Self-Expression,5,3,0.6
deepseek-chat,baseline,,ru,F118,Survival vs. Self-Expression,10,5,1.0
deepseek-chat,baseline,,ru,F120,Survival vs. Self-Expression,5,5,1.0
deepseek-chat,baseline,,ru,G006,Survival vs. Self-Expression,1,5,1.0
deepseek-chat,baseline,,ru,Y002,Traditional vs. Secular-Rational,3 1,5,1.0
deepseek-chat,baseline,,ru,Y003,Traditional vs. Secular-Rational,2 3 4 6 8,5,1.0
deepseek-chat,baseline,,zh-cn,A008,Traditional vs. Secular-Rational,2,5,1.0
deepseek-chat,baseline,,zh-cn,A165,Traditional vs. Secular-Rational,1,3,0.6
deepseek-chat,baseline,,zh-cn,E018,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,zh-cn,E025,Traditional vs. Secular-Rational,1,5,1.0
deepseek-chat,baseline,,zh-cn,F063,Survival vs. Self-Expression,7,3,0.6
deepseek-chat,baseline,,zh-cn,F118,Survival vs. Self-Expression,8,4,0.8
deepseek-chat,baseline,,zh-cn,F120,Survival vs. Self-Expression,5,5,1.0
deepseek-chat,baseline,,zh-cn,G006,Survival vs. Self-Expression,1,5,1.0
deepseek-chat,baseline,,zh-cn,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
deepseek-chat,baseline,,zh-cn,Y003,Traditional vs. Secular-Rational,2 3 4 6 8,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,ar,A008,Traditional vs. Secular-Rational,1,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,ar,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ar,E018,Traditional vs. Secular-Rational,3,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ar,E025,Traditional vs. Secular-Rational,2,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,ar,F063,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ar,F118,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ar,F120,Survival vs. Self-Expression,5,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,ar,G006,Survival vs. Self-Expression,1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ar,Y002,Traditional vs. Secular-Rational,1 3,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ar,Y003,Traditional vs. Secular-Rational,1 2 4 6 8,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,A008,Traditional vs. Secular-Rational,1,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,en,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,E018,Traditional vs. Secular-Rational,1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,E025,Traditional vs. Secular-Rational,1,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,en,F063,Survival vs. Self-Expression,10,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,en,F118,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,F120,Survival vs. Self-Expression,5,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,G006,Survival vs. Self-Expression,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,en,Y003,Traditional vs. Secular-Rational,1 2 4 6 8,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,es,A008,Traditional vs. Secular-Rational,1,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,es,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,es,E018,Traditional vs. Secular-Rational,3,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,es,E025,Traditional vs. Secular-Rational,2,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,es,F063,Survival vs. Self-Expression,10,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,es,F118,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,es,F120,Survival vs. Self-Expression,5,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,es,G006,Survival vs. Self-Expression,1,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,es,Y002,Traditional vs. Secular-Rational,2 4,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,es,Y003,Traditional vs. Secular-Rational,1 2 4 6 10,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,fr,A008,Traditional vs. Secular-Rational,3,2,0.4
deepseek/deepseek-chat-v3.1,baseline,,fr,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,fr,E018,Traditional vs. Secular-Rational,1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,fr,E025,Traditional vs. Secular-Rational,2,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,fr,F063,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,fr,F118,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,fr,F120,Survival vs. Self-Expression,5,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,fr,G006,Survival vs. Self-Expression,1,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,fr,Y002,Traditional vs. Secular-Rational,3 2,2,0.4
deepseek/deepseek-chat-v3.1,baseline,,fr,Y003,Traditional vs. Secular-Rational,2 3 4 6 8,2,0.4
deepseek/deepseek-chat-v3.1,baseline,,ru,A008,Traditional vs. Secular-Rational,3,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,ru,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ru,E018,Traditional vs. Secular-Rational,1,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,ru,E025,Traditional vs. Secular-Rational,1,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,ru,F063,Survival vs. Self-Expression,5,2,0.4
deepseek/deepseek-chat-v3.1,baseline,,ru,F118,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ru,F120,Survival vs. Self-Expression,5,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ru,G006,Survival vs. Self-Expression,1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ru,Y002,Traditional vs. Secular-Rational,3 1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,ru,Y003,Traditional vs. Secular-Rational,2 4 6 8 10,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,A008,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,A165,Traditional vs. Secular-Rational,2,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,E018,Traditional vs. Secular-Rational,1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,E025,Traditional vs. Secular-Rational,1,3,0.6
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,F063,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,F118,Survival vs. Self-Expression,10,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,F120,Survival vs. Self-Expression,5,4,0.8
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,G006,Survival vs. Self-Expression,1,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,Y003,Traditional vs. Secular-Rational,2 3 4 6 8,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,A008,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,A165,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,E018,Traditional vs. Secular-Rational,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,E025,Traditional vs. Secular-Rational,3,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,F063,Survival vs. Self-Expression,8,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,F118,Survival vs. Self-Expression,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,F120,Survival vs. Self-Expression,6,3,0.6
doubao-1-5-pro-32k-250115,baseline,,ar,G006,Survival vs. Self-Expression,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,Y002,Traditional vs. Secular-Rational,3 1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ar,Y003,Traditional vs. Secular-Rational,1 2 4 6 8,3,0.6
doubao-1-5-pro-32k-250115,baseline,,en,A008,Traditional vs. Secular-Rational,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,en,A165,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,en,E018,Traditional vs. Secular-Rational,1,4,0.8
doubao-1-5-pro-32k-250115,baseline,,en,E025,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,en,F063,Survival vs. Self-Expression,7,4,0.8
doubao-1-5-pro-32k-250115,baseline,,en,F118,Survival vs. Self-Expression,10,5,1.0
doubao-1-5-pro-32k-250115,baseline,,en,F120,Survival vs. Self-Expression,7,5,1.0
doubao-1-5-pro-32k-250115,baseline,,en,G006,Survival vs. Self-Expression,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,en,Y002,Traditional vs. Secular-Rational,3 1,4,0.8
doubao-1-5-pro-32k-250115,baseline,,en,Y003,Traditional vs. Secular-Rational,1 2 4 6 10,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,A008,Traditional vs. Secular-Rational,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,A165,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,E018,Traditional vs. Secular-Rational,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,E025,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,F063,Survival vs. Self-Expression,2,4,1.0
doubao-1-5-pro-32k-250115,baseline,,es,F118,Survival vs. Self-Expression,10,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,F120,Survival vs. Self-Expression,7,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,G006,Survival vs. Self-Expression,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,es,Y002,Traditional vs. Secular-Rational,3 2,3,0.6
doubao-1-5-pro-32k-250115,baseline,,es,Y003,Traditional vs. Secular-Rational,1 4 6 8 10,3,0.6
doubao-1-5-pro-32k-250115,baseline,,fr,A008,Traditional vs. Secular-Rational,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,A165,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,E018,Traditional vs. Secular-Rational,1,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,E025,Traditional vs. Secular-Rational,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,F063,Survival vs. Self-Expression,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,F118,Survival vs. Self-Expression,10,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,F120,Survival vs. Self-Expression,7,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,G006,Survival vs. Self-Expression,2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,Y002,Traditional vs. Secular-Rational,3 2,5,1.0
doubao-1-5-pro-32k-250115,baseline,,fr,Y003,Traditional vs. Secular-Rational,1 2 4 6 10,5,1.0
doubao-1-5-pro-32k-250115,baseline,,ru,A008,Traditional vs. Secular-Rational,2,3,0.6
