model,condition,country,language,total_questions,valid_responses,invalid_responses,success_rate,mean_consistency_rate
google/gemini-3-pro-preview,baseline,,ar,10,10,0,1.0,0.96
google/gemini-3-pro-preview,baseline,,en,10,10,0,1.0,0.86
google/gemini-3-pro-preview,baseline,,es,10,10,0,1.0,0.98
google/gemini-3-pro-preview,baseline,,fr,10,10,0,1.0,0.88
google/gemini-3-pro-preview,baseline,,ru,10,10,0,1.0,1.0
google/gemini-3-pro-preview,baseline,,zh-cn,10,10,0,1.0,1.0
google/gemma-3-4b-it,baseline,,ar,10,10,0,1.0,1.0
google/gemma-3-4b-it,baseline,,en,10,9,1,0.9,0.88
google/gemma-3-4b-it,baseline,,es,10,10,0,1.0,1.0
google/gemma-3-4b-it,baseline,,fr,10,10,0,1.0,1.0
google/gemma-3-4b-it,baseline,,ru,10,10,0,1.0,0.96
google/gemma-3-4b-it,baseline,,zh-cn,10,10,0,1.0,1.0
gpt-4o,baseline,,ar,10,10,0,1.0,0.82
gpt-4o,baseline,,en,10,10,0,1.0,0.88
gpt-4o,baseline,,es,10,10,0,1.0,0.84
gpt-4o,baseline,,fr,10,10,0,1.0,0.92
gpt-4o,baseline,,ru,10,10,0,1.0,0.92
gpt-4o,baseline,,zh-cn,10,10,0,1.0,0.94
gpt-4o-mini,baseline,,ar,10,10,0,1.0,0.88
gpt-4o-mini,baseline,,en,10,10,0,1.0,0.88
gpt-4o-mini,baseline,,es,10,10,0,1.0,0.96
gpt-4o-mini,baseline,,fr,10,10,0,1.0,0.93
gpt-4o-mini,baseline,,ru,10,10,0,1.0,1.0
gpt-4o-mini,baseline,,zh-cn,10,10,0,1.0,0.96
kimi-k2,baseline,,ar,10,10,0,1.0,0.98
kimi-k2,baseline,,en,10,10,0,1.0,0.82
kimi-k2,baseline,,es,10,9,1,0.9,0.86
kimi-k2,baseline,,fr,10,10,0,1.0,0.8
kimi-k2,baseline,,ru,10,10,0,1.0,0.84
kimi-k2,baseline,,zh-cn,10,10,0,1.0,0.86
meta-llama/llama-3.2-3b-instruct,baseline,,ar,10,10,0,1.0,0.88
meta-llama/llama-3.2-3b-instruct,baseline,,en,10,9,1,0.9,0.84
meta-llama/llama-3.2-3b-instruct,baseline,,es,10,10,0,1.0,0.9
meta-llama/llama-3.2-3b-instruct,baseline,,fr,10,10,0,1.0,0.96
meta-llama/llama-3.2-3b-instruct,baseline,,ru,10,10,0,1.0,0.89
meta-llama/llama-3.2-3b-instruct,baseline,,zh-cn,10,8,2,0.8,0.58
meta-llama/llama-3.3-70b-instruct,baseline,,ar,10,10,0,1.0,0.92
meta-llama/llama-3.3-70b-instruct,baseline,,en,10,10,0,1.0,0.98
meta-llama/llama-3.3-70b-instruct,baseline,,es,10,10,0,1.0,0.98
meta-llama/llama-3.3-70b-instruct,baseline,,fr,10,10,0,1.0,1.0
meta-llama/llama-3.3-70b-instruct,baseline,,ru,10,10,0,1.0,0.98
meta-llama/llama-3.3-70b-instruct,baseline,,zh-cn,10,10,0,1.0,0.98
microsoft/phi-3-mini-128k-instruct,baseline,,ar,10,10,0,1.0,0.92
microsoft/phi-3-mini-128k-instruct,baseline,,en,10,10,0,1.0,0.91
microsoft/phi-3-mini-128k-instruct,baseline,,es,10,10,0,1.0,0.94
microsoft/phi-3-mini-128k-instruct,baseline,,fr,10,10,0,1.0,0.98
microsoft/phi-3-mini-128k-instruct,baseline,,ru,10,10,0,1.0,0.9
microsoft/phi-3-mini-128k-instruct,baseline,,zh-cn,10,10,0,1.0,0.92
mistralai/mistral-medium-3.1,baseline,,ar,10,10,0,1.0,0.98
mistralai/mistral-medium-3.1,baseline,,en,10,10,0,1.0,0.98
mistralai/mistral-medium-3.1,baseline,,es,10,9,1,0.9,0.88
mistralai/mistral-medium-3.1,baseline,,fr,10,10,0,1.0,0.9
mistralai/mistral-medium-3.1,baseline,,ru,10,10,0,1.0,0.88
mistralai/mistral-medium-3.1,baseline,,zh-cn,10,10,0,1.0,0.96
mistralai/mistral-nemo,baseline,,ar,10,10,0,1.0,0.92
mistralai/mistral-nemo,baseline,,en,10,10,0,1.0,0.86
mistralai/mistral-nemo,baseline,,es,10,10,0,1.0,0.82
mistralai/mistral-nemo,baseline,,fr,10,10,0,1.0,0.92
mistralai/mistral-nemo,baseline,,ru,10,10,0,1.0,0.88
mistralai/mistral-nemo,baseline,,zh-cn,10,10,0,1.0,0.9
openai/gpt-5.1,baseline,,ar,10,10,0,1.0,0.88
openai/gpt-5.1,baseline,,en,10,10,0,1.0,0.86
openai/gpt-5.1,baseline,,es,10,10,0,1.0,0.76
openai/gpt-5.1,baseline,,fr,10,10,0,1.0,0.78
openai/gpt-5.1,baseline,,ru,10,10,0,1.0,0.94
openai/gpt-5.1,baseline,,zh-cn,10,10,0,1.0,0.88
qwen/qwen3-max,baseline,,ar,10,10,0,1.0,0.96
qwen/qwen3-max,baseline,,en,10,10,0,1.0,0.96
qwen/qwen3-max,baseline,,es,10,10,0,1.0,0.96
qwen/qwen3-max,baseline,,fr,10,10,0,1.0,0.96
qwen/qwen3-max,baseline,,ru,10,10,0,1.0,0.9
qwen/qwen3-max,baseline,,zh-cn,10,10,0,1.0,0.92
qwen/qwq-32b,baseline,,ar,10,10,0,1.0,0.9
qwen/qwq-32b,baseline,,en,10,10,0,1.0,0.82
qwen/qwq-32b,baseline,,es,10,10,0,1.0,0.82
qwen/qwq-32b,baseline,,fr,10,10,0,1.0,0.88
qwen/qwq-32b,baseline,,ru,10,10,0,1.0,0.84
qwen/qwq-32b,baseline,,zh-cn,10,10,0,1.0,0.9
qwen3-1.7b,baseline,,ar,10,10,0,1.0,1.0
qwen3-1.7b,baseline,,en,10,10,0,1.0,1.0
qwen3-1.7b,baseline,,es,10,10,0,1.0,1.0
qwen3-1.7b,baseline,,fr,10,10,0,1.0,1.0
qwen3-1.7b,baseline,,ru,10,10,0,1.0,1.0
qwen3-1.7b,baseline,,zh-cn,10,9,1,0.9,0.9
x-ai/grok-4.1-fast,baseline,,ar,10,10,0,1.0,0.82
x-ai/grok-4.1-fast,baseline,,en,10,10,0,1.0,0.8
x-ai/grok-4.1-fast,baseline,,es,10,10,0,1.0,0.76
x-ai/grok-4.1-fast,baseline,,fr,10,10,0,1.0,0.8
x-ai/grok-4.1-fast,baseline,,ru,10,10,0,1.0,0.82
x-ai/grok-4.1-fast,baseline,,zh-cn,10,10,0,1.0,0.9
z-ai/glm-4.6,baseline,,ar,10,10,0,1.0,0.82
z-ai/glm-4.6,baseline,,en,10,10,0,1.0,0.9
z-ai/glm-4.6,baseline,,es,10,10,0,1.0,0.86
z-ai/glm-4.6,baseline,,fr,10,10,0,1.0,0.8
z-ai/glm-4.6,baseline,,ru,10,10,0,1.0,0.76
z-ai/glm-4.6,baseline,,zh-cn,10,10,0,1.0,0.8
