model_name,language,PC1,PC2
claude-3-7-sonnet-20250219,zh-cn,2.9655,2.855
claude-sonnet-4.5,zh-cn,1.7952,1.5987
deepseek-chat,zh-cn,4.9478,-0.2357
deepseek-chat-v3.1,zh-cn,3.6881,-0.6923
doubao-1-5-pro-32k-250115,zh-cn,2.8588,0.1971
gemini-2.5-flash,zh-cn,4.7691,-1.3068
gemini-2.5-pro,zh-cn,2.2679,0.4929
gemini-3-pro-preview,zh-cn,1.0542,1.466
gemma-3-4b-it,zh-cn,-0.7722,1.793
gpt-4o,zh-cn,2.9829,1.4185
gpt-4o-mini,zh-cn,4.2818,0.879
gpt-5.1,zh-cn,3.9901,3.4491
grok-4.1-fast,zh-cn,1.1236,4.2638
kimi-k2,zh-cn,6.1703,-1.0265
llama-3.2-3b-instruct,zh-cn,0.0685,0.4843
llama-3.3-70b-instruct,zh-cn,3.1381,1.7912
mistral-medium-3.1,zh-cn,3.2834,2.6632
mistral-nemo,zh-cn,0.7575,4.8601
phi-3-mini-128k-instruct,zh-cn,2.0117,1.4192
qwen3-max,zh-cn,1.8178,-1.7066
