model,condition,country,language,total_questions,valid_responses,invalid_responses,success_rate,mean_consistency_rate
anthropic/claude-sonnet-4.5,imitation,Guatemala,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Guatemala,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Haiti,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Haiti,fr,10,9,1,0.9,0.88
anthropic/claude-sonnet-4.5,imitation,Hong Kong,en-native,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Hong Kong,zh-cn,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Hong Kong,zh-hk,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Iraq,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Iraq,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Ireland,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Italy,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Italy,it,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Japan,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Japan,ja,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Jordan,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Jordan,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Kazakhstan,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Kazakhstan,ru,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Kenya,en-native,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Korea,en,10,10,0,1.0,0.94
anthropic/claude-sonnet-4.5,imitation,Korea,ko,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Kuwait,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Kuwait,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Kyrgyzstan,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Kyrgyzstan,ru,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Lebanon,ar,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Lebanon,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Libya,ar,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Libya,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Luxembourg,de,10,10,0,1.0,0.94
anthropic/claude-sonnet-4.5,imitation,Luxembourg,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Luxembourg,fr,10,9,1,0.9,0.9
anthropic/claude-sonnet-4.5,imitation,Macao,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Macao,pt,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Macao,zh-cn,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Malaysia,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Mali,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Mali,fr,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Malta,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Mexico,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Mexico,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Morocco,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Morocco,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,New Zealand,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Nicaragua,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Nicaragua,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Nigeria,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Pakistan,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Palestine,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Palestine,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Peru,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Peru,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Philippines,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Portugal,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Portugal,pt,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Puerto Rico,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Puerto Rico,es,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Qatar,ar,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Qatar,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Russia,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Russia,ru,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Rwanda,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Rwanda,fr,10,9,1,0.9,0.9
anthropic/claude-sonnet-4.5,imitation,Singapore,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Singapore,zh-cn,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,South Africa,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Spain,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Spain,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Switzerland,de,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Switzerland,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Switzerland,fr,10,8,2,0.8,0.8
anthropic/claude-sonnet-4.5,imitation,Switzerland,it,10,10,0,1.0,0.94
anthropic/claude-sonnet-4.5,imitation,Taiwan,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Taiwan,zh-tw,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Trinidad and Tobago,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Tunisia,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Tunisia,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,United Kingdom,en-native,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,United States,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Uruguay,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Uruguay,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Venezuela,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Venezuela,es,10,10,0,1.0,0.94
anthropic/claude-sonnet-4.5,imitation,Yemen,ar,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Yemen,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Zambia,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Zimbabwe,en-native,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Algeria,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Algeria,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Argentina,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Argentina,es,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Australia,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Austria,de,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Austria,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Belarus,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Belarus,ru,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Belgium,de,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Belgium,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Belgium,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Bolivia,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Bolivia,es,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Brazil,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Brazil,pt,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Burkina Faso,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Burkina Faso,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Canada,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Canada,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Chile,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Chile,es,10,10,0,1.0,0.94
claude-3-7-sonnet-20250219,imitation,China,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,China,zh-cn,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Colombia,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Colombia,es,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Ecuador,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Ecuador,es,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Egypt,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Egypt,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,France,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,France,fr,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Germany,de,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Germany,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Ghana,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Guatemala,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Guatemala,es,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Haiti,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Haiti,fr,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Hong Kong,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Hong Kong,zh-cn,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Hong Kong,zh-hk,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Iraq,ar,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Iraq,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Ireland,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Italy,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Italy,it,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Japan,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Japan,ja,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Jordan,ar,10,10,0,1.0,0.94
claude-3-7-sonnet-20250219,imitation,Jordan,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Kazakhstan,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Kazakhstan,ru,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Kenya,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Korea,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Korea,ko,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Kuwait,ar,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Kuwait,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Kyrgyzstan,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Kyrgyzstan,ru,10,10,0,1.0,0.94
claude-3-7-sonnet-20250219,imitation,Lebanon,ar,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Lebanon,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Libya,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Libya,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Luxembourg,de,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Luxembourg,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Luxembourg,fr,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Macao,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Macao,pt,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Macao,zh-cn,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Malaysia,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Mali,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Mali,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Malta,en-native,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Mexico,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Mexico,es,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Morocco,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Morocco,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,New Zealand,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Nicaragua,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Nicaragua,es,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Nigeria,en-native,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Pakistan,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Palestine,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Palestine,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Peru,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Peru,es,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Philippines,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Portugal,en,10,10,0,1.0,0.94
claude-3-7-sonnet-20250219,imitation,Portugal,pt,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Puerto Rico,en-native,10,10,0,1.0,0.94
claude-3-7-sonnet-20250219,imitation,Puerto Rico,es,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Qatar,ar,10,10,0,1.0,0.94
claude-3-7-sonnet-20250219,imitation,Qatar,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Russia,en,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Russia,ru,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Rwanda,en-native,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Rwanda,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Singapore,en-native,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Singapore,zh-cn,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,South Africa,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Spain,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Spain,es,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Switzerland,de,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Switzerland,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Switzerland,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Switzerland,it,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Taiwan,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Taiwan,zh-tw,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Trinidad and Tobago,en-native,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,imitation,Tunisia,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Tunisia,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,United Kingdom,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,United States,en-native,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Uruguay,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Uruguay,es,10,10,0,1.0,0.92
claude-3-7-sonnet-20250219,imitation,Venezuela,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,imitation,Venezuela,es,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Yemen,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Yemen,en,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Zambia,en-native,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,imitation,Zimbabwe,en-native,10,10,0,1.0,0.98
deepseek-chat,imitation,Algeria,ar,10,10,0,1.0,0.94
deepseek-chat,imitation,Algeria,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Argentina,en,10,10,0,1.0,0.88
deepseek-chat,imitation,Argentina,es,10,10,0,1.0,0.79
deepseek-chat,imitation,Australia,en-native,10,10,0,1.0,0.84
deepseek-chat,imitation,Austria,de,10,10,0,1.0,0.94
deepseek-chat,imitation,Austria,en,10,10,0,1.0,0.92
deepseek-chat,imitation,Belarus,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Belarus,ru,10,10,0,1.0,0.92
deepseek-chat,imitation,Belgium,de,10,10,0,1.0,0.88
deepseek-chat,imitation,Belgium,en,10,10,0,1.0,0.88
deepseek-chat,imitation,Belgium,fr,10,10,0,1.0,0.8
deepseek-chat,imitation,Bolivia,en,10,10,0,1.0,0.9
deepseek-chat,imitation,Bolivia,es,10,10,0,1.0,0.76
deepseek-chat,imitation,Brazil,en,10,10,0,1.0,0.78
deepseek-chat,imitation,Brazil,pt,10,10,0,1.0,0.88
deepseek-chat,imitation,Burkina Faso,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Burkina Faso,fr,10,10,0,1.0,0.84
deepseek-chat,imitation,Canada,en-native,10,10,0,1.0,0.86
deepseek-chat,imitation,Canada,fr,10,10,0,1.0,0.74
deepseek-chat,imitation,Chile,en,10,10,0,1.0,0.82
deepseek-chat,imitation,Chile,es,10,10,0,1.0,0.84
deepseek-chat,imitation,China,en,10,10,0,1.0,0.88
deepseek-chat,imitation,China,zh-cn,10,10,0,1.0,0.88
deepseek-chat,imitation,Colombia,en,10,10,0,1.0,0.8
deepseek-chat,imitation,Colombia,es,10,10,0,1.0,0.88
deepseek-chat,imitation,Ecuador,en,10,10,0,1.0,0.92
deepseek-chat,imitation,Ecuador,es,10,10,0,1.0,0.84
deepseek-chat,imitation,Egypt,ar,10,10,0,1.0,0.94
deepseek-chat,imitation,Egypt,en,10,10,0,1.0,0.89
deepseek-chat,imitation,France,en,10,10,0,1.0,0.9
deepseek-chat,imitation,France,fr,10,10,0,1.0,0.82
deepseek-chat,imitation,Germany,de,10,10,0,1.0,0.88
deepseek-chat,imitation,Germany,en,10,10,0,1.0,0.8
deepseek-chat,imitation,Ghana,en-native,10,10,0,1.0,0.88
deepseek-chat,imitation,Guatemala,en,10,10,0,1.0,0.92
deepseek-chat,imitation,Guatemala,es,10,10,0,1.0,0.88
deepseek-chat,imitation,Haiti,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Haiti,fr,10,10,0,1.0,0.88
deepseek-chat,imitation,Hong Kong,en-native,10,10,0,1.0,0.88
deepseek-chat,imitation,Hong Kong,zh-cn,10,10,0,1.0,0.82
deepseek-chat,imitation,Hong Kong,zh-hk,10,10,0,1.0,0.76
deepseek-chat,imitation,Iraq,ar,10,10,0,1.0,0.94
deepseek-chat,imitation,Iraq,en,10,10,0,1.0,0.96
deepseek-chat,imitation,Ireland,en-native,10,10,0,1.0,0.84
deepseek-chat,imitation,Italy,en,10,10,0,1.0,0.88
deepseek-chat,imitation,Italy,it,10,10,0,1.0,0.92
deepseek-chat,imitation,Japan,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Japan,ja,10,10,0,1.0,0.82
deepseek-chat,imitation,Jordan,ar,10,10,0,1.0,0.92
deepseek-chat,imitation,Jordan,en,10,10,0,1.0,0.98
deepseek-chat,imitation,Kazakhstan,en,10,10,0,1.0,0.92
deepseek-chat,imitation,Kazakhstan,ru,10,10,0,1.0,0.82
deepseek-chat,imitation,Kenya,en-native,10,10,0,1.0,0.92
deepseek-chat,imitation,Korea,en,10,10,0,1.0,0.88
deepseek-chat,imitation,Korea,ko,10,10,0,1.0,0.9
deepseek-chat,imitation,Kuwait,ar,10,10,0,1.0,0.94
deepseek-chat,imitation,Kuwait,en,10,10,0,1.0,0.96
deepseek-chat,imitation,Kyrgyzstan,en,10,10,0,1.0,0.92
deepseek-chat,imitation,Kyrgyzstan,ru,10,10,0,1.0,0.88
deepseek-chat,imitation,Lebanon,ar,10,10,0,1.0,0.78
deepseek-chat,imitation,Lebanon,en,10,10,0,1.0,0.86
deepseek-chat,imitation,Libya,ar,10,10,0,1.0,0.95
deepseek-chat,imitation,Libya,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Luxembourg,de,10,10,0,1.0,0.8
deepseek-chat,imitation,Luxembourg,en,10,10,0,1.0,0.76
deepseek-chat,imitation,Luxembourg,fr,10,10,0,1.0,0.9
deepseek-chat,imitation,Macao,en,10,10,0,1.0,0.96
deepseek-chat,imitation,Macao,pt,10,10,0,1.0,0.86
deepseek-chat,imitation,Macao,zh-cn,10,10,0,1.0,0.88
deepseek-chat,imitation,Malaysia,en-native,10,10,0,1.0,0.94
deepseek-chat,imitation,Mali,en,10,10,0,1.0,0.84
deepseek-chat,imitation,Mali,fr,10,10,0,1.0,0.82
deepseek-chat,imitation,Malta,en-native,10,10,0,1.0,0.88
deepseek-chat,imitation,Mexico,en,10,10,0,1.0,0.86
deepseek-chat,imitation,Mexico,es,10,10,0,1.0,0.86
deepseek-chat,imitation,Morocco,ar,10,10,0,1.0,0.94
deepseek-chat,imitation,Morocco,en,10,10,0,1.0,0.92
deepseek-chat,imitation,New Zealand,en-native,10,10,0,1.0,0.74
deepseek-chat,imitation,Nicaragua,en,10,10,0,1.0,0.96
deepseek-chat,imitation,Nicaragua,es,10,10,0,1.0,0.86
deepseek-chat,imitation,Nigeria,en-native,10,10,0,1.0,0.9
deepseek-chat,imitation,Pakistan,en-native,10,10,0,1.0,0.96
deepseek-chat,imitation,Palestine,ar,10,10,0,1.0,0.9
deepseek-chat,imitation,Palestine,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Peru,en,10,10,0,1.0,0.86
deepseek-chat,imitation,Peru,es,10,10,0,1.0,0.76
deepseek-chat,imitation,Philippines,en-native,10,10,0,1.0,0.9
deepseek-chat,imitation,Portugal,en,10,10,0,1.0,0.86
deepseek-chat,imitation,Portugal,pt,10,10,0,1.0,0.8
deepseek-chat,imitation,Puerto Rico,en-native,10,10,0,1.0,0.82
deepseek-chat,imitation,Puerto Rico,es,10,10,0,1.0,0.88
deepseek-chat,imitation,Qatar,ar,10,10,0,1.0,0.92
deepseek-chat,imitation,Qatar,en,10,10,0,1.0,0.94
deepseek-chat,imitation,Russia,en,10,10,0,1.0,0.86
deepseek-chat,imitation,Russia,ru,10,10,0,1.0,0.84
deepseek-chat,imitation,Rwanda,en-native,10,10,0,1.0,0.84
deepseek-chat,imitation,Rwanda,fr,10,10,0,1.0,0.88
deepseek-chat,imitation,Singapore,en-native,10,10,0,1.0,0.96
deepseek-chat,imitation,Singapore,zh-cn,10,10,0,1.0,0.94
deepseek-chat,imitation,South Africa,en-native,10,10,0,1.0,0.86
deepseek-chat,imitation,Spain,en,10,10,0,1.0,0.84
deepseek-chat,imitation,Spain,es,10,10,0,1.0,0.74
