model,language,total,clean_numeric,legacy_like,option_list_like,very_likely_wrong,clean_rate,legacy_like_rate,option_list_like_rate,very_likely_wrong_rate
gemma-3-4b-it,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gemma-3-4b-it,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-4o,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-4o,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-4o,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-4o-mini,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-4o-mini,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-4o-mini,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-5.1,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-5.1,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gpt-5.1,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
grok-4.1-fast,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
grok-4.1-fast,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
grok-4.1-fast,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
kimi-k2,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
kimi-k2,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
kimi-k2,zh-hk,50,49,0,0,0,0.98,0.0,0.0,0.0
llama-3.2-3b-instruct,en-native,50,46,0,0,0,0.92,0.0,0.0,0.0
llama-3.2-3b-instruct,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
llama-3.2-3b-instruct,zh-hk,50,47,0,0,0,0.94,0.0,0.0,0.0
llama-3.3-70b-instruct,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
llama-3.3-70b-instruct,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
llama-3.3-70b-instruct,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
mistral-medium-3.1,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
mistral-medium-3.1,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
mistral-medium-3.1,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
mistral-nemo,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
mistral-nemo,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
mistral-nemo,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
phi-3-mini-128k-instruct,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
phi-3-mini-128k-instruct,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
phi-3-mini-128k-instruct,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
polylm-1.7b,en-native,13,0,0,0,0,0.0,0.0,0.0,0.0
qwen3-1.7b,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
qwen3-1.7b,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
qwen3-1.7b,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
qwen3-max,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
qwen3-max,zh-cn,50,43,0,0,0,0.86,0.0,0.0,0.0
qwen3-max,zh-hk,50,42,0,0,0,0.84,0.0,0.0,0.0
