model,country,question,question_text,status
mistralai-mistral-nemo-free,United States,A008,"Taking all things together, rate how happy you wou...",文件不存在
mistralai-mistral-nemo-free,United States,A165,"Generally speaking, would you say that most people...",文件不存在
mistralai-mistral-nemo-free,United States,E018,If greater respect for authority takes place in th...,文件不存在
mistralai-mistral-nemo-free,United States,E025,Please tell me whether you have signed a petition ...,文件不存在
mistralai-mistral-nemo-free,United States,F063,How important is God in your life? Please indicate...,文件不存在
mistralai-mistral-nemo-free,United States,F118,How justifiable do you think homosexuality is? Ple...,文件不存在
mistralai-mistral-nemo-free,United States,F120,How justifiable do you think abortion is? Please i...,文件不存在
mistralai-mistral-nemo-free,United States,G006,HHow proud are you to be your nationality? Please ...,文件不存在
mistralai-mistral-nemo-free,United States,Y002,People sometimes talk about what the aims of this ...,文件不存在
mistralai-mistral-nemo-free,United States,Y003, In the following list of qualities that children ...,文件不存在
mistralai-mistral-nemo-free,United_Kingdom,A008,"Taking all things together, rate how happy you wou...",无回答或回答为空
mistralai-mistral-nemo-free,United_Kingdom,Y002,People sometimes talk about what the aims of this ...,无回答或回答为空
mistralai-mistral-nemo-free,United_Kingdom,Y003, In the following list of qualities that children ...,无回答或回答为空
mistralai-mistral-nemo-free,United_States,A008,"Taking all things together, rate how happy you wou...",无回答或回答为空
mistralai-mistral-nemo-free,United_States,G006,HHow proud are you to be your nationality? Please ...,无回答或回答为空
mistralai-mistral-nemo-free,United_States,Y002,People sometimes talk about what the aims of this ...,无回答或回答为空
mistralai-mistral-nemo-free,United_States,Y003, In the following list of qualities that children ...,无回答或回答为空
qwq-32b-preview,Brazil,Y003, In the following list of qualities that children ...,无回答或回答为空
qwq-32b-preview,Japan,Y003, In the following list of qualities that children ...,无回答或回答为空
qwq-32b-preview,United States,A008,"Taking all things together, rate how happy you wou...",文件不存在
qwq-32b-preview,United States,A165,"Generally speaking, would you say that most people...",文件不存在
qwq-32b-preview,United States,E018,If greater respect for authority takes place in th...,文件不存在
qwq-32b-preview,United States,E025,Please tell me whether you have signed a petition ...,文件不存在
qwq-32b-preview,United States,F063,How important is God in your life? Please indicate...,文件不存在
qwq-32b-preview,United States,F118,How justifiable do you think homosexuality is? Ple...,文件不存在
qwq-32b-preview,United States,F120,How justifiable do you think abortion is? Please i...,文件不存在
qwq-32b-preview,United States,G006,HHow proud are you to be your nationality? Please ...,文件不存在
qwq-32b-preview,United States,Y002,People sometimes talk about what the aims of this ...,文件不存在
qwq-32b-preview,United States,Y003, In the following list of qualities that children ...,文件不存在
