model,country,language,timestamp,success_rate,A008_valid,A008_numeric,A008_standardized,A008_raw,A165_valid,A165_numeric,A165_standardized,A165_raw,E018_valid,E018_numeric,E018_standardized,E018_raw,E025_valid,E025_numeric,E025_standardized,E025_raw,F063_valid,F063_numeric,F063_standardized,F063_raw,F118_valid,F118_numeric,F118_standardized,F118_raw,F120_valid,F120_numeric,F120_standardized,F120_raw,G006_valid,G006_numeric,G006_standardized,G006_raw,Y002_valid,Y002_numeric,Y002_standardized,Y002_raw,Y003_valid,Y003_numeric,Y003_standardized,Y003_raw
deepseek-chat,Libya,ar,2025-12-10T15:13:31.628604,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Palestine,fr,2026-03-02T13:05:14.002699,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Switzerland,en,2025-12-10T17:05:58.685915,100.0,True,1.0,1.0,1,True,1.0,1.0,1,True,2.0,2.0,2,True,1.0,1.0,1,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,1.0,1.0,1,True,"[1, 4]",0.0,1 4,True,"[2, 4, 6, 8, 10]",1.0,2 4 6 8 10
deepseek-chat,China,en,2025-12-10T16:20:20.384447,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,2.0,2.0,2,True,3.0,3.0,3,True,5.0,5.0,5,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 8]",1.0,1 3 4 6 8
deepseek-chat,Uruguay,en,2025-12-10T17:09:03.329936,100.0,True,1.0,1.0,1,True,2.0,2.0,2,True,3.0,3.0,3,True,2.0,2.0,2,True,6.0,6.0,6,True,8.0,8.0,8,True,6.0,6.0,6,True,1.0,1.0,1,True,"[3, 2]",0.6666666666666666,3 2,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Yemen,en,2025-12-10T17:11:21.517468,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,3.0,3.0,3,True,10.0,10.0,10,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Luxembourg,de,2025-12-10T15:33:44.628288,100.0,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,2.0,2.0,2,True,7.0,7.0,7,True,9.0,9.0,9,True,7.0,7.0,7,True,1.0,1.0,1,True,"[3, 2]",0.6666666666666666,3 2,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Lebanon,fr,2026-03-02T12:57:24.416898,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,2.0,2.0,2,True,4.0,4.0,4,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Belgium,en,2025-12-10T16:12:25.281648,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,3.0,3.0,3,True,1.0,1.0,1,True,4.0,4.0,4,True,8.0,8.0,8,True,7.0,7.0,7,True,2.0,2.0,2,True,"[3, 4]",0.6666666666666666,3 4,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Rwanda,fr,2025-12-10T15:28:57.146895,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Venezuela,es,2025-12-10T15:04:45.942347,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,5.0,5.0,5,True,3.0,3.0,3,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 10]",1.0,1 3 4 6 10
deepseek-chat,Australia,en-native,2025-12-10T14:27:32.969410,100.0,True,1.0,1.0,1,True,1.0,1.0,1,True,3.0,3.0,3,True,1.0,1.0,1,True,4.0,4.0,4,True,10.0,10.0,10,True,7.0,7.0,7,True,1.0,1.0,1,True,"[4, 2]",1.0,4 2,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Egypt,ar,2025-12-10T15:07:15.111682,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Rwanda,en-native,2025-12-10T14:40:26.524510,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,1.0,1.0,1,True,2.0,2.0,2,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Jordan,fr,2026-03-02T12:50:56.198318,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Switzerland,fr,2025-12-10T15:29:45.484994,100.0,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,6.0,6.0,6,True,1.0,1.0,1,True,"[2, 4]",0.3333333333333333,2 4,True,"[2, 4, 6, 7, 8]",1.0,2 4 6 7 8
deepseek-chat,Qatar,fr,2026-03-02T13:08:09.389648,100.0,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,3.0,3.0,3,True,10.0,10.0,10,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Tunisia,fr,2026-03-02T13:11:20.282870,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,2.0,2.0,2,True,3.0,3.0,3,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Mexico,en,2025-12-10T16:54:45.331584,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,6.0,6.0,6,True,4.0,4.0,4,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Puerto Rico,es,2025-12-10T15:01:42.024778,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,8.0,8.0,8,True,5.0,5.0,5,True,1.0,1.0,1,True,"[3, 2]",0.6666666666666666,3 2,True,"[1, 4, 6, 9, 10]",1.0,1 4 6 9 10
deepseek-chat,China,zh-cn,2025-12-10T15:41:59.207238,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,3.0,3.0,3,True,3.0,3.0,3,True,3.0,3.0,3,True,5.0,5.0,5,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[3, 4, 6, 8, 10]",1.0,3 4 6 8 10
deepseek-chat,Colombia,en,2025-12-10T16:23:18.372843,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,7.0,7.0,7,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Tunisia,ar,2025-12-10T15:17:49.444845,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Bolivia,es,2025-12-10T14:51:50.233778,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,9.0,9.0,9,True,5.0,5.0,5,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 10]",1.0,1 3 4 6 10
deepseek-chat,Spain,en,2025-12-10T17:04:17.696719,100.0,True,1.0,1.0,1,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,6.0,6.0,6,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 8, 10]",1.0,1 4 6 8 10
deepseek-chat,Algeria,ar,2025-12-10T15:06:01.807257,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Palestine,en,2025-12-10T16:58:09.488984,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,10.0,10.0,10,True,1.0,1.0,1,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Italy,it,2025-12-10T15:55:13.064142,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,6.0,6.0,6,True,8.0,8.0,8,True,5.0,5.0,5,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 2, 3, 6, 10]",1.0,1 2 3 6 10
deepseek-chat,Yemen,ar,2025-12-10T15:19:26.795056,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Canada,fr,2025-12-10T15:22:27.500688,100.0,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,1.0,1.0,1,True,"[3, 2]",0.6666666666666666,3 2,True,"[2, 4, 6, 8, 10]",1.0,2 4 6 8 10
deepseek-chat,Guatemala,en,2025-12-10T16:33:28.305610,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,4.0,4.0,4,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Macao,pt,2025-12-10T15:50:20.761245,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,6.0,6.0,6,True,7.0,7.0,7,True,5.0,5.0,5,True,2.0,2.0,2,True,"[1, 2]",0.0,1 2,True,"[1, 3, 4, 6, 7]",1.0,1 3 4 6 7
deepseek-chat,Peru,es,2025-12-10T15:00:36.842517,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,7.0,7.0,7,True,5.0,5.0,5,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 10]",1.0,1 3 4 6 10
deepseek-chat,Argentina,en,2025-12-10T16:06:53.335971,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,7.0,7.0,7,True,7.0,7.0,7,True,5.0,5.0,5,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 8, 10]",1.0,1 4 6 8 10
deepseek-chat,Brazil,en,2025-12-10T16:15:56.601013,100.0,True,1.0,1.0,1,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,8.0,8.0,8,True,8.0,8.0,8,True,4.0,4.0,4,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 10]",1.0,1 3 4 6 10
deepseek-chat,Peru,en,2025-12-10T16:59:35.825694,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,5.0,5.0,5,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 8]",1.0,1 3 4 6 8
deepseek-chat,Austria,en,2025-12-10T16:10:08.149820,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Taiwan,en,2025-12-10T17:06:34.807886,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,5.0,5.0,5,True,7.0,7.0,7,True,5.0,5.0,5,True,2.0,2.0,2,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 8]",1.0,1 3 4 6 8
deepseek-chat,Singapore,zh-cn,2025-12-10T15:47:27.670472,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,5.0,5.0,5,True,7.0,7.0,7,True,6.0,6.0,6,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[2, 3, 4, 6, 8]",1.0,2 3 4 6 8
deepseek-chat,Kazakhstan,ru,2025-12-10T15:38:07.172761,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,1.0,1.0,1,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 11]",1.0,1 3 4 6 11
deepseek-chat,Canada,en-native,2025-12-10T14:26:37.650106,100.0,True,1.0,1.0,1,True,2.0,2.0,2,True,3.0,3.0,3,True,1.0,1.0,1,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,1.0,1.0,1,True,"[4, 2]",1.0,4 2,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Hong Kong,zh-cn,2025-12-10T15:44:32.419368,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,5.0,5.0,5,True,7.0,7.0,7,True,6.0,6.0,6,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[2, 3, 4, 6, 8]",1.0,2 3 4 6 8
deepseek-chat,United Kingdom,en-native,2025-12-10T14:45:25.552557,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,3.0,3.0,3,True,2.0,2.0,2,True,4.0,4.0,4,True,8.0,8.0,8,True,7.0,7.0,7,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 2, 4, 6, 10]",1.0,1 2 4 6 10
deepseek-chat,Pakistan,en-native,2025-12-10T14:37:26.000964,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Colombia,es,2025-12-10T14:53:31.518548,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,8.0,8.0,8,True,7.0,7.0,7,True,4.0,4.0,4,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 10]",1.0,1 4 6 9 10
deepseek-chat,Ecuador,en,2025-12-10T16:25:39.523286,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,5.0,5.0,5,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Kenya,en-native,2025-12-10T14:31:47.538242,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,3.0,3.0,3,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Lebanon,en,2025-12-10T16:48:31.853247,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,2.0,2.0,2,True,3.0,3.0,3,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Luxembourg,fr,2025-12-10T15:26:04.564401,100.0,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,1.0,1.0,1,True,"[3, 2]",0.6666666666666666,3 2,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Brazil,pt,2025-12-10T15:48:57.842048,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,3.0,3.0,3,True,2.0,2.0,2,True,8.0,8.0,8,True,8.0,8.0,8,True,5.0,5.0,5,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,South Africa,en-native,2025-12-10T14:41:59.722609,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,7.0,7.0,7,True,6.0,6.0,6,True,5.0,5.0,5,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 8]",1.0,1 3 4 6 8
deepseek-chat,United States,en-native,2025-12-10T14:46:09.246965,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,3.0,3.0,3,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,1.0,1.0,1,True,"[4, 2]",1.0,4 2,True,"[1, 2, 3, 4, 6]",1.0,1 2 3 4 6
deepseek-chat,Kuwait,fr,2026-03-02T12:53:34.884512,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Korea,en,2025-12-10T16:43:53.034046,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,5.0,5.0,5,True,4.0,4.0,4,True,3.0,3.0,3,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 8]",1.0,1 3 4 6 8
deepseek-chat,Morocco,en,2025-12-10T16:56:00.332088,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Luxembourg,en,2025-12-10T16:50:23.075905,100.0,True,1.0,1.0,1,True,2.0,2.0,2,True,2.0,2.0,2,True,2.0,2.0,2,True,5.0,5.0,5,True,9.0,9.0,9,True,7.0,7.0,7,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[2, 4, 6, 8, 10]",1.0,2 4 6 8 10
deepseek-chat,Spain,es,2025-12-10T15:02:15.369609,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,3.0,3.0,3,True,10.0,10.0,10,True,7.0,7.0,7,True,1.0,1.0,1,True,"[3, 2]",0.6666666666666666,3 2,True,"[1, 4, 6, 8, 10]",1.0,1 4 6 8 10
deepseek-chat,Zimbabwe,en-native,2025-12-10T14:51:44.965955,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Macao,en,2025-12-10T16:52:14.726670,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,5.0,5.0,5,True,5.0,5.0,5,True,5.0,5.0,5,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 8]",1.0,1 3 4 6 8
deepseek-chat,Haiti,fr,2025-12-10T15:24:42.707770,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,3.0,3.0,3,True,1.0,1.0,1,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Bolivia,en,2025-12-10T16:14:41.073977,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,4.0,4.0,4,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
