model,country,cultural_region,roleplay,A008,E018,F063,F118,F120,G006,E025,A165
openai/gpt-4o-mini,India,AI Roleplay,True,2.0,,10.0,5.0,5.0,,2.0,
openai/gpt-4o-mini,Iran (Islamic Republic of),AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,Iraq,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
openai/gpt-4o-mini,Ireland,AI Roleplay,True,2.0,,8.0,7.0,4.0,,,
openai/gpt-4o-mini,Indonesia,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Italy,AI Roleplay,True,2.0,,9.0,6.0,3.0,,,
openai/gpt-4o-mini,Japan,AI Roleplay,True,2.0,,5.0,5.0,4.0,2.0,2.0,2.0
openai/gpt-4o-mini,Kazakhstan,AI Roleplay,True,2.0,,9.0,3.0,4.0,,2.0,
openai/gpt-4o-mini,Korea (the Republic of),AI Roleplay,True,2.0,,7.0,4.0,5.0,,2.0,2.0
openai/gpt-4o-mini,Jordan,AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,Latvia,AI Roleplay,True,2.0,,8.0,5.0,4.0,,,2.0
openai/gpt-4o-mini,Lebanon,AI Roleplay,True,2.0,,10.0,3.0,3.0,,2.0,2.0
openai/gpt-4o-mini,Kenya,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Kyrgyzstan,AI Roleplay,True,,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Kuwait,AI Roleplay,True,,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Libya,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Lithuania,AI Roleplay,True,2.0,,9.0,4.0,4.0,,2.0,2.0
openai/gpt-4o-mini,Luxembourg,AI Roleplay,True,2.0,,8.0,7.0,4.0,,,
openai/gpt-4o-mini,Macao,AI Roleplay,True,2.0,,7.0,5.0,4.0,,2.0,
openai/gpt-4o-mini,Maldives,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Mali,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Malaysia,AI Roleplay,True,2.0,,9.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Malta,AI Roleplay,True,,,9.0,4.0,2.0,,,
openai/gpt-4o-mini,Mexico,AI Roleplay,True,2.0,,9.0,6.0,4.0,,2.0,
openai/gpt-4o-mini,Mongolia,AI Roleplay,True,2.0,,7.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Montenegro,AI Roleplay,True,2.0,,10.0,3.0,3.0,,2.0,
openai/gpt-4o-mini,Moldova (the Republic of),AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,
openai/gpt-4o-mini,Morocco,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Netherlands (the),AI Roleplay,True,2.0,2.0,5.0,10.0,7.0,2.0,,
openai/gpt-4o-mini,New Zealand,AI Roleplay,True,,3.0,5.0,10.0,7.0,,,
openai/gpt-4o-mini,Nicaragua,AI Roleplay,True,2.0,,10.0,4.0,3.0,,2.0,
openai/gpt-4o-mini,Nigeria,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Norway,AI Roleplay,True,,3.0,3.0,10.0,8.0,,,
openai/gpt-4o-mini,Peru,AI Roleplay,True,2.0,,9.0,5.0,4.0,,2.0,
openai/gpt-4o-mini,Pakistan,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Philippines (the),AI Roleplay,True,2.0,,10.0,5.0,3.0,,2.0,
openai/gpt-4o-mini,Poland,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,
openai/gpt-4o-mini,Romania,AI Roleplay,True,2.0,,10.0,4.0,4.0,,2.0,2.0
openai/gpt-4o-mini,Portugal,AI Roleplay,True,2.0,,10.0,6.0,3.0,,,
openai/gpt-4o-mini,Puerto Rico,AI Roleplay,True,2.0,,9.0,7.0,4.0,,,
openai/gpt-4o-mini,Russian Federation (the),AI Roleplay,True,2.0,,8.0,3.0,4.0,,2.0,2.0
openai/gpt-4o-mini,Qatar,AI Roleplay,True,,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Rwanda,AI Roleplay,True,,,10.0,2.0,2.0,,2.0,
openai/gpt-4o-mini,Serbia,AI Roleplay,True,2.0,,10.0,3.0,4.0,,2.0,2.0
openai/gpt-4o-mini,Singapore,AI Roleplay,True,2.0,,7.0,5.0,5.0,2.0,2.0,
openai/gpt-4o-mini,Viet Nam,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,South Africa,AI Roleplay,True,2.0,3.0,7.0,7.0,6.0,,,
openai/gpt-4o-mini,Slovenia,AI Roleplay,True,2.0,3.0,8.0,5.0,4.0,,,
openai/gpt-4o-mini,Slovakia,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,
openai/gpt-4o-mini,Zimbabwe,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Sweden,AI Roleplay,True,,3.0,3.0,10.0,8.0,2.0,,
openai/gpt-4o-mini,Spain,AI Roleplay,True,2.0,3.0,9.0,7.0,4.0,,,
openai/gpt-4o-mini,Switzerland,AI Roleplay,True,2.0,3.0,4.0,10.0,7.0,2.0,,
openai/gpt-4o-mini,Tajikistan,AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,Trinidad and Tobago,AI Roleplay,True,,,10.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Thailand,AI Roleplay,True,2.0,,8.0,5.0,4.0,,2.0,
openai/gpt-4o-mini,Turkey,AI Roleplay,True,2.0,,9.0,3.0,4.0,,2.0,
openai/gpt-4o-mini,Tunisia,AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,Republic of North Macedonia,AI Roleplay,True,2.0,,9.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Ukraine,AI Roleplay,True,2.0,,9.0,3.0,4.0,,2.0,2.0
openai/gpt-4o-mini,Egypt,AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,2.0,5.0,9.0,6.0,2.0,,
openai/gpt-4o-mini,Uzbekistan,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Uruguay,AI Roleplay,True,2.0,2.0,7.0,7.0,6.0,,,
openai/gpt-4o-mini,United States of America (the),AI Roleplay,True,2.0,,8.0,8.0,6.0,,,
openai/gpt-4o-mini,Burkina Faso,AI Roleplay,True,,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Venezuela (Bolivarian Republic of),AI Roleplay,True,2.0,,10.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Yemen,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Zambia,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
google/gemini-2.0-flash-001,Albania,AI Roleplay,True,2.0,,9.0,2.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,Australia,AI Roleplay,True,2.0,2.0,4.0,8.0,6.0,2.0,2.0,
google/gemini-2.0-flash-001,Azerbaijan,AI Roleplay,True,2.0,,8.0,2.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,Argentina,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Andorra,AI Roleplay,True,2.0,,8.0,6.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Algeria,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Austria,AI Roleplay,True,2.0,,6.0,7.0,4.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Bangladesh,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Belgium,AI Roleplay,True,2.0,2.0,6.0,8.0,4.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Armenia,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Bosnia and Herzegovina,AI Roleplay,True,2.0,,8.0,3.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Bulgaria,AI Roleplay,True,2.0,,7.0,3.0,4.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Brazil,AI Roleplay,True,2.0,,10.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Myanmar,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Belarus,AI Roleplay,True,2.0,,8.0,2.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Canada,AI Roleplay,True,2.0,2.0,3.0,8.0,7.0,2.0,2.0,
google/gemini-2.0-flash-001,Chile,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,China,AI Roleplay,True,2.0,,3.0,3.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,Taiwan (Province of China),AI Roleplay,True,2.0,,6.0,5.0,4.0,,2.0,2.0
google/gemini-2.0-flash-001,Colombia,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Croatia,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Czechia,AI Roleplay,True,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Cyprus,AI Roleplay,True,2.0,,7.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Denmark,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,2.0,
google/gemini-2.0-flash-001,Ecuador,AI Roleplay,True,2.0,,10.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,France,AI Roleplay,True,2.0,2.0,4.0,7.0,4.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Estonia,AI Roleplay,True,2.0,,4.0,4.0,4.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Finland,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,2.0,
google/gemini-2.0-flash-001,Georgia,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Ethiopia,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Germany,AI Roleplay,True,2.0,2.0,3.0,9.0,4.0,2.0,2.0,
google/gemini-2.0-flash-001,"Palestine, State of",AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Ghana,AI Roleplay,True,2.0,,10.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Greece,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Guatemala,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Haiti,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Hungary,AI Roleplay,True,2.0,,7.0,4.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Hong Kong,AI Roleplay,True,2.0,,3.0,4.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Iceland,AI Roleplay,True,2.0,3.0,3.0,10.0,8.0,2.0,2.0,
google/gemini-2.0-flash-001,India,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Indonesia,AI Roleplay,True,2.0,,10.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Ireland,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,2.0
google/gemini-2.0-flash-001,Japan,AI Roleplay,True,2.0,,3.0,5.0,4.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Iran (Islamic Republic of),AI Roleplay,True,2.0,,10.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Italy,AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Iraq,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Kazakhstan,AI Roleplay,True,2.0,,8.0,2.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,Jordan,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Korea (the Republic of),AI Roleplay,True,2.0,,4.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Latvia,AI Roleplay,True,2.0,,6.0,4.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Lebanon,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Kenya,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Kyrgyzstan,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Kuwait,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Libya,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Lithuania,AI Roleplay,True,2.0,,7.0,3.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Macao,AI Roleplay,True,2.0,,3.0,4.0,3.0,2.0,3.0,2.0
google/gemini-2.0-flash-001,Luxembourg,AI Roleplay,True,2.0,,7.0,7.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Maldives,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Malaysia,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Malta,AI Roleplay,True,2.0,,9.0,6.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Mali,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Mexico,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Mongolia,AI Roleplay,True,2.0,,4.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Moldova (the Republic of),AI Roleplay,True,2.0,,8.0,2.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Montenegro,AI Roleplay,True,2.0,,9.0,3.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,Netherlands (the),AI Roleplay,True,2.0,2.0,4.0,8.0,7.0,2.0,2.0,
google/gemini-2.0-flash-001,Morocco,AI Roleplay,True,2.0,,10.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Nicaragua,AI Roleplay,True,2.0,,10.0,3.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,New Zealand,AI Roleplay,True,2.0,2.0,4.0,8.0,6.0,,2.0,
google/gemini-2.0-flash-001,Norway,AI Roleplay,True,2.0,2.0,3.0,9.0,8.0,2.0,2.0,
google/gemini-2.0-flash-001,Nigeria,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Pakistan,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Peru,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Philippines (the),AI Roleplay,True,2.0,,10.0,3.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Poland,AI Roleplay,True,2.0,,9.0,4.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Portugal,AI Roleplay,True,2.0,,8.0,6.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Puerto Rico,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Qatar,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Romania,AI Roleplay,True,2.0,,9.0,3.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Russian Federation (the),AI Roleplay,True,2.0,,6.0,3.0,4.0,2.0,3.0,2.0
google/gemini-2.0-flash-001,Rwanda,AI Roleplay,True,2.0,,10.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Serbia,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Slovakia,AI Roleplay,True,2.0,,8.0,4.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Singapore,AI Roleplay,True,2.0,,4.0,4.0,4.0,,3.0,2.0
google/gemini-2.0-flash-001,Viet Nam,AI Roleplay,True,2.0,,3.0,4.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Slovenia,AI Roleplay,True,2.0,,7.0,5.0,3.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,South Africa,AI Roleplay,True,2.0,,8.0,6.0,5.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Spain,AI Roleplay,True,2.0,,8.0,6.0,3.0,2.0,3.0,2.0
google/gemini-2.0-flash-001,Sweden,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,2.0,
google/gemini-2.0-flash-001,Zimbabwe,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
google/gemini-2.0-flash-001,Switzerland,AI Roleplay,True,2.0,2.0,3.0,9.0,8.0,2.0,2.0,
google/gemini-2.0-flash-001,Tajikistan,AI Roleplay,True,2.0,,9.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Trinidad and Tobago,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Thailand,AI Roleplay,True,2.0,,7.0,6.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Tunisia,AI Roleplay,True,2.0,,10.0,2.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,Ukraine,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Turkey,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Republic of North Macedonia,AI Roleplay,True,2.0,,8.0,2.0,3.0,,3.0,2.0
google/gemini-2.0-flash-001,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,2.0,4.0,7.0,5.0,2.0,2.0,2.0
google/gemini-2.0-flash-001,Egypt,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,United States of America (the),AI Roleplay,True,2.0,2.0,7.0,6.0,5.0,,2.0,2.0
google/gemini-2.0-flash-001,Burkina Faso,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Uruguay,AI Roleplay,True,2.0,,8.0,6.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Uzbekistan,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Venezuela (Bolivarian Republic of),AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
google/gemini-2.0-flash-001,Zambia,AI Roleplay,True,2.0,,10.0,2.0,2.0,,3.0,2.0
google/gemini-2.0-flash-001,Yemen,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
anthropic/claude-3.7-sonnet,Albania,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Algeria,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Azerbaijan,AI Roleplay,True,2.0,,8.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Bangladesh,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Andorra,AI Roleplay,True,2.0,,7.0,7.0,5.0,,2.0,
anthropic/claude-3.7-sonnet,Australia,AI Roleplay,True,2.0,2.0,4.0,8.0,7.0,,,
anthropic/claude-3.7-sonnet,Argentina,AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Austria,AI Roleplay,True,2.0,2.0,6.0,6.0,5.0,2.0,,
anthropic/claude-3.7-sonnet,Armenia,AI Roleplay,True,2.0,,8.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Belgium,AI Roleplay,True,2.0,2.0,6.0,7.0,6.0,2.0,,
anthropic/claude-3.7-sonnet,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Bulgaria,AI Roleplay,True,2.0,,7.0,3.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Bosnia and Herzegovina,AI Roleplay,True,2.0,,8.0,3.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Belarus,AI Roleplay,True,2.0,,7.0,3.0,3.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Myanmar,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Brazil,AI Roleplay,True,2.0,,9.0,5.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Canada,AI Roleplay,True,2.0,3.0,5.0,9.0,7.0,2.0,,
anthropic/claude-3.7-sonnet,Chile,AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Taiwan (Province of China),AI Roleplay,True,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,China,AI Roleplay,True,2.0,,3.0,3.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Colombia,AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Czechia,AI Roleplay,True,2.0,,6.0,5.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Croatia,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Cyprus,AI Roleplay,True,2.0,,8.0,5.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Denmark,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,2.0,,
anthropic/claude-3.7-sonnet,Estonia,AI Roleplay,True,2.0,,5.0,4.0,5.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Ecuador,AI Roleplay,True,2.0,,8.0,4.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,France,AI Roleplay,True,2.0,2.0,5.0,7.0,6.0,2.0,,2.0
anthropic/claude-3.7-sonnet,Ethiopia,AI Roleplay,True,2.0,,9.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Finland,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,,
anthropic/claude-3.7-sonnet,Georgia,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,"Palestine, State of",AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Germany,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,3.0,,
